State Code,State Name,Type,Age Group,Two Total,Two Male,Two Female,Three Total,Three Male,Three Female
5,UTTARAKHAND,Urban,20-24,112657,61439,51218,17366,9417,7949
5,UTTARAKHAND,Urban,25-29,92996,49534,43462,14054,7657,6397
5,UTTARAKHAND,Urban,30-49,241354,135523,105831,36836,21285,15551
5,UTTARAKHAND,Urban,50-69,102973,61843,41130,18307,11511,6796
5,UTTARAKHAND,Urban,70+,21543,12916,8627,4440,3287,1153
5,UTTARAKHAND,Urban,Age not stated,1659,997,662,166,100,66
6,HARYANA,Total,Total,4456790,2576417,1880373,1170571,681228,489343
6,HARYANA,Total,5-9,214884,118836,96048,17696,9971,7725
6,HARYANA,Total,10-14,476031,266392,209639,97509,54690,42819
6,HARYANA,Total,15-19,647958,365233,282725,195948,107958,87990
6,HARYANA,Total,20-24,647806,356854,290952,187590,101018,86572
6,HARYANA,Total,25-29,540898,301228,239670,148462,81924,66538
6,HARYANA,Total,30-49,1312949,781027,531922,340304,202216,138088
6,HARYANA,Total,50-69,508822,321206,187616,152180,100145,52035
6,HARYANA,Total,70+,102455,62903,39552,29431,22475,6956
6,HARYANA,Total,Age not stated,4987,2738,2249,1451,831,620
6,HARYANA,Rural,Total,2194575,1307460,887115,562967,344293,218674
6,HARYANA,Rural,5-9,125711,68968,56743,7186,4100,3086
6,HARYANA,Rural,10-14,284594,158641,125953,60140,33646,26494
6,HARYANA,Rural,15-19,368372,207946,160426,130066,72121,57945
6,HARYANA,Rural,20-24,338196,190429,147767,111679,61721,49958
6,HARYANA,Rural,25-29,258170,150597,107573,74716,44119,30597
6,HARYANA,Rural,30-49,576047,365664,210383,132932,90459,42473
6,HARYANA,Rural,50-69,198508,135808,62700,38681,31754,6927
6,HARYANA,Rural,70+,42349,27951,14398,6806,5926,880
6,HARYANA,Rural,Age not stated,2628,1456,1172,761,447,314
6,HARYANA,Urban,Total,2262215,1268957,993258,607604,336935,270669
6,HARYANA,Urban,5-9,89173,49868,39305,10510,5871,4639
6,HARYANA,Urban,10-14,191437,107751,83686,37369,21044,16325
6,HARYANA,Urban,15-19,279586,157287,122299,65882,35837,30045
6,HARYANA,Urban,20-24,309610,166425,143185,75911,39297,36614
6,HARYANA,Urban,25-29,282728,150631,132097,73746,37805,35941
6,HARYANA,Urban,30-49,736902,415363,321539,207372,111757,95615
6,HARYANA,Urban,50-69,310314,185398,124916,113499,68391,45108
6,HARYANA,Urban,70+,60106,34952,25154,22625,16549,6076
6,HARYANA,Urban,Age not stated,2359,1282,1077,690,384,306
7,DELHI,Total,Total,5458981,3050945,2408036,1358233,741513,616720
7,DELHI,Total,5-9,210252,113721,96531,28514,15191,13323
7,DELHI,Total,10-14,468752,255788,212964,86373,46106,40267
7,DELHI,Total,15-19,686700,375013,311687,136451,71782,64669
7,DELHI,Total,20-24,764978,413392,351586,159909,83191,76718
7,DELHI,Total,25-29,692798,372890,319908,156480,80505,75975
7,DELHI,Total,30-49,1796333,1026016,770317,469504,254280,215224
7,DELHI,Total,50-69,697726,415277,282449,259634,149394,110240
7,DELHI,Total,70+,136622,76148,60474,60443,40565,19878
7,DELHI,Total,Age not stated,4820,2700,2120,925,499,426
