State Code,State Name,Age Group,TOT_P,TOT_M,TOT_F
15,MIZORAM (15),65-69,16170,8114,8056
15,MIZORAM (15),70-74,12020,6108,5912
15,MIZORAM (15),75-79,7784,3884,3900
15,MIZORAM (15),80+,8174,3882,4292
15,MIZORAM (15),Age not stated,633,379,254
16,TRIPURA (16),All ages,3673917,1874376,1799541
16,TRIPURA (16),0-4,322566,164505,158061
16,TRIPURA (16),5-9,337735,172541,165194
16,TRIPURA (16),10-14,357690,183001,174689
16,TRIPURA (16),15-19,357829,181136,176693
16,TRIPURA (16),20-24,373177,183779,189398
16,TRIPURA (16),25-29,344149,175059,169090
16,TRIPURA (16),30-34,286989,149231,137758
16,TRIPURA (16),35-39,279342,143051,136291
16,TRIPURA (16),40-44,238751,124093,114658
16,TRIPURA (16),45-49,205469,106717,98752
16,TRIPURA (16),50-54,162186,86627,75559
16,TRIPURA (16),55-59,116874,61849,55025
16,TRIPURA (16),60-64,97129,49611,47518
16,TRIPURA (16),65-69,70480,35044,35436
16,TRIPURA (16),70-74,52324,25535,26789
16,TRIPURA (16),75-79,30086,14259,15827
16,TRIPURA (16),80+,39525,17471,22054
16,TRIPURA (16),Age not stated,1616,867,749
17,MEGHALAYA (17),All ages,2966889,1491832,1475057
17,MEGHALAYA (17),0-4,406154,205846,200308
17,MEGHALAYA (17),5-9,389182,197585,191597
17,MEGHALAYA (17),10-14,382606,193473,189133
17,MEGHALAYA (17),15-19,326188,164716,161472
17,MEGHALAYA (17),20-24,285012,139140,145872
17,MEGHALAYA (17),25-29,251281,124676,126605
17,MEGHALAYA (17),30-34,189657,95786,93871
17,MEGHALAYA (17),35-39,174706,87320,87386
17,MEGHALAYA (17),40-44,145450,73377,72073
17,MEGHALAYA (17),45-49,123115,63043,60072
17,MEGHALAYA (17),50-54,88743,45910,42833
17,MEGHALAYA (17),55-59,60109,30692,29417
17,MEGHALAYA (17),60-64,50708,25421,25287
17,MEGHALAYA (17),65-69,35774,17482,18292
17,MEGHALAYA (17),70-74,23698,11161,12537
17,MEGHALAYA (17),75-79,12845,5848,6997
17,MEGHALAYA (17),80+,15877,7027,8850
17,MEGHALAYA (17),Age not stated,5784,3329,2455
18,ASSAM (18),All ages,31205576,15939443,15266133
18,ASSAM (18),0-4,3212833,1634922,1577911
18,ASSAM (18),5-9,3544339,1806346,1737993
18,ASSAM (18),10-14,3491727,1789381,1702346
18,ASSAM (18),15-19,3068581,1595489,1473092
18,ASSAM (18),20-24,2909405,1415580,1493825
18,ASSAM (18),25-29,2815147,1393042,1422105
18,ASSAM (18),30-34,2330060,1174247,1155813
18,ASSAM (18),35-39,2260473,1153679,1106794
18,ASSAM (18),40-44,1831206,965463,865743
18,ASSAM (18),45-49,1595249,846081,749168
18,ASSAM (18),50-54,1192363,642260,550103
18,ASSAM (18),55-59,856825,458242,398583
18,ASSAM (18),60-64,775698,394563,381135
18,ASSAM (18),65-69,503642,253973,249669
18,ASSAM (18),70-74,385277,196445,188832
18,ASSAM (18),75-79,184352,96599,87753
18,ASSAM (18),80+,229575,113237,116338
18,ASSAM (18),Age not stated,18824,9894,8930
19,WEST BENGAL (19),All ages,91276115,46809027,44467088
19,WEST BENGAL (19),0-4,7333143,3743862,3589281
19,WEST BENGAL (19),5-9,8247809,4216763,4031046
19,WEST BENGAL (19),10-14,9156523,4677506,4479017
19,WEST BENGAL (19),15-19,9058031,4702325,4355706
19,WEST BENGAL (19),20-24,8758322,4422630,4335692
19,WEST BENGAL (19),25-29,7997909,4044904,3953005
19,WEST BENGAL (19),30-34,6841590,3464659,3376931
19,WEST BENGAL (19),35-39,7012646,3523361,3489285
19,WEST BENGAL (19),40-44,6153060,3219604,2933456
19,WEST BENGAL (19),45-49,5335719,2814212,2521507
19,WEST BENGAL (19),50-54,4257880,2317232,1940648
19,WEST BENGAL (19),55-59,3268650,1746903,1521747
19,WEST BENGAL (19),60-64,2745454,1406401,1339053
19,WEST BENGAL (19),65-69,1982993,991280,991713
19,WEST BENGAL (19),70-74,1390607,686881,703726
19,WEST BENGAL (19),75-79,739767,360216,379551
19,WEST BENGAL (19),80+,883561,406536,477025
19,WEST BENGAL (19),Age not stated,112451,63752,48699
20,JHARKHAND (20),All ages,32988134,16930315,16057819
20,JHARKHAND (20),0-4,3648297,1871134,1777163
20,JHARKHAND (20),5-9,4138425,2117879,2020546
20,JHARKHAND (20),10-14,4104396,2112627,1991769
20,JHARKHAND (20),15-19,3205268,1714887,1490381
20,JHARKHAND (20),20-24,2827622,1431263,1396359
20,JHARKHAND (20),25-29,2652639,1342314,1310325
20,JHARKHAND (20),30-34,2307296,1165866,1141430
20,JHARKHAND (20),35-39,2136764,1092675,1044089
20,JHARKHAND (20),40-44,1788506,930421,858085
20,JHARKHAND (20),45-49,1534094,798966,735128
20,JHARKHAND (20),50-54,1186181,620682,565499
20,JHARKHAND (20),55-59,985234,487604,497630
20,JHARKHAND (20),60-64,957482,474565,482917
20,JHARKHAND (20),65-69,635397,317852,317545
20,JHARKHAND (20),70-74,407108,210878,196230
20,JHARKHAND (20),75-79,167954,83542,84412
20,JHARKHAND (20),80+,188737,94908,93829
20,JHARKHAND (20),Age not stated,116734,62252,54482
21,ODISHA (21),All ages,41974218,21212136,20762082
21,ODISHA (21),0-4,3653029,1878127,1774902
21,ODISHA (21),5-9,4074768,2085339,1989429
21,ODISHA (21),10-14,4348625,2203535,2145090
21,ODISHA (21),15-19,3925398,1972684,1952714
21,ODISHA (21),20-24,3783527,1870939,1912588
21,ODISHA (21),25-29,3574037,1772876,1801161
21,ODISHA (21),30-34,3102991,1542233,1560758
21,ODISHA (21),35-39,3051188,1528685,1522503
21,ODISHA (21),40-44,2691474,1387920,1303554
21,ODISHA (21),45-49,2334030,1212366,1121664
21,ODISHA (21),50-54,1847812,957524,890288
21,ODISHA (21),55-59,1483720,744291,739429
21,ODISHA (21),60-64,1474061,737635,736426
21,ODISHA (21),65-69,979525,487849,491676
21,ODISHA (21),70-74,768070,380635,387435
21,ODISHA (21),75-79,364800,183294,181506
21,ODISHA (21),80+,397992,204857,193135
21,ODISHA (21),Age not stated,119171,61347,57824
22,CHHATTISGARH (22),All ages,25545198,12832895,12712303
22,CHHATTISGARH (22),0-4,2541065,1286970,1254095
22,CHHATTISGARH (22),5-9,2758758,1404079,1354679
22,CHHATTISGARH (22),10-14,2884013,1461185,1422828
22,CHHATTISGARH (22),15-19,2599842,1319451,1280391
22,CHHATTISGARH (22),20-24,2389497,1193378,1196119
22,CHHATTISGARH (22),25-29,2057300,1049238,1008062
