Sr No,Name,District_Key,State_Code,TOT_P,TOT_M,TOT_F
275,Nanded,MH_Nanded,MH,3361292,1730075,1631217
276,Nandurbar,MH_Nandurbar,MH,1648295,833170,815125
277,Nashik,MH_Nashik,MH,6107187,3157186,2950001
278,Osmanabad,MH_Osmanabad,MH,1657576,861535,796041
279,Parbhani,MH_Parbhani,MH,1836086,942870,893216
280,Pune,MH_Pune,MH,9429408,4924105,4505303
282,Ratnagiri,MH_Ratnagiri,MH,1615069,761121,853948
283,Sangli,MH_Sangli,MH,2822143,1435728,1386415
284,Satara,MH_Satara,MH,3003741,1510842,1492899
285,Sindhudurg,MH_Sindhudurg,MH,849651,417332,432319
286,Solapur,MH_Solapur,MH,4317756,2227852,2089904
287,Thane,MH_Thane,MH,11060148,5865078,5195070
288,Wardha,MH_Wardha,MH,1300774,668385,632389
289,Washim,MH_Washim,MH,1197160,620302,576858
290,Yavatmal,MH_Yavatmal,MH,2772348,1419965,1352383
292,East Garo Hills,ML_East Garo Hills,ML,317917,161223,156694
293,East Khasi Hills,ML_East Khasi Hills,ML,825922,410749,415173
294,Ribhoi,ML_Ribhoi,ML,258840,132531,126309
295,South Garo Hills,ML_South Garo Hills,ML,142334,73170,69164
296,West Garo Hills,ML_West Garo Hills,ML,643291,324159,319132
297,West Jaintia Hills,ML_West Jaintia Hills,ML,395124,196285,198839
298,West Khasi Hills,ML_West Khasi Hills,ML,383461,193715,189746
300,Alirajpur,MP_Alirajpur,MP,728999,362542,366457
301,Anuppur,MP_Anuppur,MP,749237,379114,370123
302,Ashoknagar,MP_Ashoknagar,MP,845071,443837,401234
303,Balaghat,MP_Balaghat,MP,1701698,842178,859520
304,Barwani,MP_Barwani,MP,1385881,699340,686541
305,Betul,MP_Betul,MP,1575362,799236,776126
306,Bhind,MP_Bhind,MP,1703005,926843,776162
307,Bhopal,MP_Bhopal,MP,2371061,1236130,1134931
308,Burhanpur,MP_Burhanpur,MP,757847,388504,369343
309,Chhatarpur,MP_Chhatarpur,MP,1762375,936121,826254
310,Chhindwara,MP_Chhindwara,MP,2090922,1064468,1026454
311,Damoh,MP_Damoh,MP,1264219,661873,602346
312,Datia,MP_Datia,MP,786754,420157,366597
313,Dewas,MP_Dewas,MP,1563715,805359,758356
314,Dhar,MP_Dhar,MP,2185793,1112725,1073068
315,Dindori,MP_Dindori,MP,704524,351913,352611
316,Guna,MP_Guna,MP,1241519,649362,592157
317,Gwalior,MP_Gwalior,MP,2032036,1090327,941709
318,Harda,MP_Harda,MP,570465,294838,275627
