stateid,monthid,dose1,dose2
OR,1,360789,3
OR,2,458768,270029
OR,3,3183865,266267
OR,4,1237883,861386
OR,5,2177302,257686
OR,6,3588354,1167223
OR,7,4015113,1653797
PB,1,91990,62
PB,2,206945,64840
PB,3,1603850,196849
PB,4,1737539,527760
PB,5,949713,119870
PB,6,1916051,635360
PB,7,2069726,1061291
PY,1,5088,48
PY,2,17618,3357
PY,3,93402,60814
PY,4,165246,36020
PY,5,95225,3959
PY,6,215756,67455
PY,7,102823,33222
RJ,1,586642,0
RJ,2,1795942,444118
RJ,3,6633671,783558
RJ,4,3031288,1737086
RJ,5,4519363,382711
RJ,6,5791592,1757813
RJ,7,6195042,3878585
SK,1,8042,0
SK,2,31074,7585
SK,3,85416,10244
SK,4,41587,42338
SK,5,60281,253
SK,6,224637,65751
SK,7,49792,32455
TL,1,210201,2337
TL,2,254667,205766
TL,3,1664622,115018
TL,4,2320539,740403
TL,5,2367616,285999
TL,6,3889567,784202
TL,7,1366493,2018389
TN,1,186278,626
TN,2,859388,114379
TN,3,2380937,327017
TN,4,1377570,1326237
TN,5,3578923,270918
TN,6,5995233,981110
TN,7,6063565,1573396
TR,1,61548,334
TR,2,71436,47242
TR,3,614404,52821
TR,4,233367,407539
TR,5,184103,11315
TR,6,944966,156028
TR,7,324319,153760
UP,1,865195,2
UP,2,1182710,621465
UP,3,6559219,806415
UP,4,2985589,1758456
UP,5,8012338,656357
UP,6,13062838,2334818
UP,7,15582907,3008709
UT,1,111791,410
UT,2,147522,85925
UT,3,970154,119958
UT,4,708644,472323
UT,5,733714,29633
UT,6,1297167,350423
UT,7,1527648,666244
WB,1,484260,1136
WB,2,1523942,358497
WB,3,5394086,685831
WB,4,1531568,2635698
WB,5,4867812,389004
WB,6,4339292,2829027
WB,7,6679376,2490941
