districtid,dose1,dose2
CT_Bijapur,79629,28625
CT_Bilaspur,576150,192418
CT_Dakshin Bastar Dantewada,111708,35547
CT_Dhamtari,310503,91399
CT_Durg,612155,258651
CT_Gariaband,167276,39250
CT_Janjgir Champa,449763,131719
CT_Jashpur,261734,65103
CT_Kabeerdham,256111,63295
CT_Kondagaon,170183,32747
CT_Korba,418071,123430
CT_Koriya,182023,47728
CT_Mahasamund,462204,144523
CT_Mungeli,194406,50053
CT_Narayanpur,34818,12181
CT_Raigarh,900787,270605
CT_Raipur,1156518,394988
CT_Rajnandgaon,684394,170975
CT_Sukma,106280,33335
CT_Surajpur,229363,49174
CT_Surguja,334150,101524
CT_Uttar Bastar Kanker,245651,73477
DN_Dadra and Nagar Haveli,349665,41505
DN_Daman,210854,35274
DN_Diu,37922,13642
Delhi,8251002,3265001
GJ_Ahmedabad,4165606,1212764
GJ_Amreli,614557,221915
GJ_Anand,942489,300552
GJ_Aravalli,487280,181254
GJ_Banaskantha,1351813,489198
GJ_Bharuch,828416,223145
GJ_Bhavnagar,1001650,330617
GJ_Botad,299725,61961
GJ_Chhota Udaipur,432155,153733
GJ_Dahod,735666,355177
GJ_Dang,70037,17846
GJ_Devbhumi Dwarka,407756,137128
GJ_Gandhinagar,924165,257561
GJ_Gir Somnath,539205,145611
GJ_Jamnagar,802253,258934
GJ_Junagadh,769045,262033
GJ_Kheda,889888,267484
GJ_Kutch,941040,265734
GJ_Mahisagar,441926,221624
GJ_Mehsana,970468,356885
GJ_Morbi,432951,103388
GJ_Narmada,293109,118086
GJ_Navsari,636436,229345
GJ_Panchmahal,680271,223005
GJ_Patan,570217,182788
GJ_Porbandar,320720,129120
GJ_Rajkot,1749015,541801
GJ_Sabarkantha,701203,215686
GJ_Surat,3259612,972722
GJ_Surendranagar,754235,134571
GJ_Tapi,360670,107999
GJ_Vadodara,2100342,674809
GJ_Valsad,763094,269207
Goa,1113559,329909
HP_Bilaspur,290041,100120
HP_Chamba,305252,82452
HP_Hamirpur,358566,134460
HP_Kangra,1062904,332518
HP_Kinnaur,74121,22990
HP_Kullu,295733,87419
HP_Lahaul and Spiti,26954,8661
HP_Mandi,689048,233717
HP_Shimla,561724,189175
HP_Sirmaur,327864,74575
HP_Solan,563896,120837
HP_Una,397620,127147
HR_Ambala,648935,257001
HR_Bhiwani,421560,103388
HR_Charkhi Dadri,307848,88366
HR_Faridabad,1039461,311343
HR_Fatehabad,326811,82393
HR_Gurugram,1544981,517662
HR_Hisar,500835,120310
HR_Jhajjar,389811,107813
HR_Jind,338393,81282
HR_Kaithal,334728,81923
HR_Karnal,548506,192305
HR_Kurukshetra,347878,106880
HR_Mahendragarh,360295,106499
HR_Nuh,155358,24748
HR_Palwal,349355,73996
HR_Panchkula,340547,126331
HR_Panipat,359823,111903
HR_Rewari,356215,126591
HR_Rohtak,385633,116915
HR_Sirsa,437095,122678
HR_Sonipat,575870,191322
HR_Yamunanagar,425063,140517
JH_Bokaro,468147,144680
JH_Chatra,265172,44789
JH_Deoghar,383729,78267
JH_Dhanbad,604575,203207
JH_Dumka,360252,72045
JH_East Singhbhum,770893,271536
JH_Garhwa,294093,59833
JH_Giridih,576441,98175
JH_Godda,381260,65117
JH_Gumla,278556,62108
JH_Hazaribagh,497004,113188
JH_Jamtara,238934,51971
JH_Khunti,153184,44994
JH_Koderma,263987,49638
JH_Latehar,170392,34632
JH_Lohardaga,136824,27977
JH_Pakur,235442,39677
JH_Palamu,510029,110876
JH_Ramgarh,272596,71638
JH_Ranchi,825443,263325
JH_Sahibganj,263913,43646
JH_Simdega,197159,34112
JH_West Singhbhum,373514,83850
JK_Anantnag,374934,98378
JK_Bandipora,149410,40019
