districtid,vaccineratio
KA_Uttara Kannada,11.5811895654458
KA_Belagavi,11.6412631838648
MP_Neemuch,11.67776068237644
GJ_Vadodara,11.678280691816429
UP_Sant Kabir Nagar,11.682229072143524
MP_Katni,11.692003202277174
CT_Balrampur,11.715183359514652
UP_Mahoba,11.772182689514958
MH_Aurangabad,11.799671055795477
GJ_Sabarkantha,11.833988830881632
MH_Mumbai,11.836588450189687
CT_Surguja,11.937609502598367
UP_Hardoi,12.000801658604008
MP_Vidisha,12.024742626465532
KA_Tumakuru,12.136119487851188
MP_Khargone,12.13794172349659
UP_Saharanpur,12.145296771954182
MP_Jhabua,12.353422517995382
UT_Nainital,12.364955618372013
PB_Ferozepur,12.418242884921336
UP_Kaushambi,12.437260462977157
MH_Kolhapur,12.462303344003269
UP_Deoria,12.484333397986353
UP_Barabanki,12.763726668268845
PB_Tarn Taran,12.80532670764134
MP_Narsinghpur,12.932724232363134
CT_Kondagaon,13.150306748466258
MP_Dhar,13.245789319021915
CT_Korba,13.318946366232941
GJ_Junagadh,13.322864286706487
BR_Buxar,13.322945677347484
TR_West Tripura,13.349272539112437
RJ_Sirohi,13.42906879935414
UP_Rae Bareli,13.456241892026744
MP_Alirajpur,13.647246269053056
GJ_Jamnagar,13.701045923668351
CT_Gariaband,13.711630225767395
MH_Nagpur,13.789568885871077
MP_Mandsaur,13.801507123513481
RJ_Bhilwara,14.046991708767434
JH_Chatra,14.136858551828524
MP_Sidhi,14.464708153451967
HR_Hisar,14.48655384692072
GJ_Surat,14.592912906262113
MP_Agar Malwa,14.668955193062152
UP_Baghpat,14.67432799843036
RJ_Rajsamand,14.786465247172517
MP_Guna,14.959688866178391
GJ_Tapi,15.041826396495072
BR_Muzaffarpur,15.205576614198522
UP_Shahjahanpur,15.207989510094274
MP_Satna,15.309323603496814
MP_Rewa,15.361762976850601
RJ_Chittorgarh,15.489436271112607
PB_Moga,15.654010847844704
UP_Basti,15.784704159471923
UT_Udham Singh Nagar,15.853750490455313
UP_Muzaffarnagar,16.317324112921927
MP_Bhind,16.60169193694146
UP_Jalaun,16.945228580855666
GJ_Rajkot,16.986684253501664
GJ_Ahmedabad,17.035418821096172
BR_Vaishali,17.151745157801592
RJ_Dungarpur,17.49245848080588
UP_Chandauli,17.514625335042535
MH_Solapur,17.624090367822173
MP_Barwani,17.829430596021727
MP_Shahdol,18.28553082191781
UP_Kannauj,18.496082833188254
RJ_Karauli,18.608966642591554
RJ_Pali,18.865581020557315
UP_Kanpur Dehat,18.976275679257785
MP_Umaria,19.340424008021774
RJ_Baran,19.36327325543012
UT_Chamoli,19.52801615345785
UT_Champawat,19.813098892920273
CT_Mahasamund,19.88339757709251
UT_Rudraprayag,20.49193133929489
MP_Panna,20.703658844309867
RJ_Pratapgarh,20.914697106048408
RJ_Jhalawar,21.03802570093458
RJ_Churu,21.094740328289625
UT_Bageshwar,22.068610129564192
MP_Singrauli,22.17714936608558
BR_Supaul,23.918247767857142
PY_Mahe,24.25394799808582
UT_Uttarkashi,24.68037687986954
RJ_Bharatpur,25.71209787440039
UT_Pauri Garhwal,25.928816771289824
UT_Tehri Garhwal,26.28409318470062
JK_Baramulla,27.47062576426179
RJ_Jalore,27.474750047761574
BR_Rohtas,30.29803044225161
CT_Sukma,30.6483914816493
JK_Kupwara,31.910403496448918
BR_Jehanabad,32.6311
BR_Aurangabad,33.09122260540661
JK_Anantnag,34.03954129123539
BR_Nawada,38.05284358571721
CT_Mungeli,38.30273311897106
BR_Nalanda,43.57388169441678
JK_Rajouri,50.40386486862227
Goa,51.1288866418692
BR_Samastipur,56.24688817506525
JK_Samba,100.08883647798743
GJ_Dang,160.5496323529412
CH_Chandigarh,210.8299761750054
HP_Chamba,252.22795558458523
NL_Wokha,391.67543859649123
NL_Zunheboto,471.98924731182797
ML_West Khasi Hills,660.6962962962963
TR_Sipahijala,733.1111111111111
AR_West Kameng,784.7407407407408
HP_Kangra,817.4351906158357
NL_Tuensang,920.8125
AR_Lepa Rada,1121.625
JK_Budgam,1266.3761755485893
JK_Pulwama,1667.9947916666667
OR_Koraput,1740.4609164420485
AR_Lohit,2169.0
AR_Tirap,2310.3333333333335
NL_Dimapur,2432.2894736842104
OR_Kalahandi,2721.460465116279
Sikkim,2877.165938864629
LA_Leh,3052.3469387755104
NL_Mokokchung,3223.814814814815
OR_Sundargarh,4214.15458937198
BR_Munger,4293.413461538462
OR_Malkangiri,4308.78
BR_Bhojpur,4797.455172413793
JK_Kathua,5036.584415584415
AR_Papum Pare,5212.193548387097
HP_Una,5246.68
AR_Longding,5308.75
JK_Kishtwar,5364.72
AR_West Siang,5630.75
HP_Kinnaur,5709.058823529412
BR_Araria,5833.452173913043
BR_Jamui,6174.708333333333
OR_Rayagada,6430.241935483871
BR_Lakhisarai,6537.5641025641025
TR_Gomati,6679.596153846154
BR_Katihar,6693.439252336449
JK_Shopiyan,7400.590909090909
LD_Lakshadweep,7728.111111111111
NL_Kohima,8057.266666666666
ML_West Garo Hills,8146.6551724137935
DN_Dadra and Nagar Haveli,8321.765957446809
BR_Begusarai,8520.154639175258
TR_Dhalai,8982.8
JK_Kulgam,9112.566666666668
AR_Tawang,9246.0
OR_Cuttack,10958.477477477478
MZ_Serchhip,11116.8
OR_Kandhamal,11792.958333333334
OR_Angul,12075.578947368422
JK_Ganderbal,12087.466666666667
JK_Bandipora,12628.333333333334
OR_Deogarh,12726.636363636364
JK_Reasi,12946.823529411764
ML_East Khasi Hills,13286.17857142857
Manipur,15002.697916666666
OR_Sambalpur,15792.585365853658
OR_Boudh,16194.2
OR_Kendujhar,17255.875
OR_Jajpur,17311.7
JK_Udhampur,18402.333333333332
BR_West Champaran,18963.6875
OR_Nabarangapur,19045.0
MZ_Lunglei,19680.0
BR_Arwal,20209.833333333332
BR_Kishanganj,20354.63157894737
OR_Nuapada,20952.0
OR_Gajapati,21915.0
HP_Shimla,22754.515151515152
BR_Kaimur,22893.764705882353
BR_Madhepura,23043.14285714286
JK_Doda,24450.1
OR_Dhenkanal,24478.14285714286
TR_Khowai,24745.0
OR_Balangir,26460.375
OR_Jagatsinghpur,27676.3125
BR_Sitamarhi,28129.266666666666
BR_Saharsa,29607.647058823528
BR_Gopalganj,31005.95
HP_Kullu,31925.666666666668
AR_Lower Subansiri,32984.0
MZ_Aizawl,33727.166666666664
BR_Sheohar,34543.166666666664
AR_Namsai,35229.0
AR_Lower Dibang Valley,37828.0
NL_Phek,38944.0
BR_Sheikhpura,39278.4
OR_Mayurbhanj,43312.21052631579
OR_Nayagarh,44966.88888888889
ML_West Jaintia Hills,48876.5
BR_Khagaria,70588.83333333333
OR_Bargarh,76920.85714285714
TR_South Tripura,79854.6
NL_Mon,82848.0
ML_Ribhoi,96642.0
HP_Bilaspur,97531.25
OR_Jharsuguda,103779.33333333333
OR_Puri,119290.0
OR_Subarnapur,145088.5
JK_Punch,149269.0
OR_Balasore,190820.8
Andaman and Nicobar Islands,330051.0
OR_Bhadrak,334541.5
TR_North Tripura,362856.0
HP_Sirmaur,402220.0
HP_Solan,681774.0
HP_Mandi,922765.0
ML_North Garo Hills,inf
ML_South West Garo Hills,inf
ML_South Garo Hills,inf
ML_South West Khasi Hills,inf
ML_East Jaintia Hills,inf
JK_Ramban,inf
LA_Kargil,inf
DN_Daman,inf
DN_Diu,inf
AR_Shi Yomi,inf
HP_Lahaul and Spiti,inf
AR_Pakke Kessang,inf
ML_East Garo Hills,inf
AR_Anjaw,inf
AR_Upper Dibang Valley,inf
AR_Siang,inf
OR_Kendrapara,inf
AR_Kra Daadi,inf
AR_Kurung Kumey,inf
AR_Kamle,inf
AR_East Siang,inf
TR_Unokoti,inf
AR_East Kameng,inf
NL_Peren,inf
AR_Changlang,inf
AR_Lower Siang,inf
NL_Kiphire,inf
MZ_Saiha,inf
MZ_Mamit,inf
MZ_Lawngtlai,inf
MZ_Kolasib,inf
MZ_Champhai,inf
AR_Upper Subansiri,inf
AR_Upper Siang,inf
NL_Longleng,inf
HP_Hamirpur,inf
