districtid,vaccinationratio,populationratio,ratioofratios
GJ_Ahmedabad,0.7620333778191799,0.9044688152297844,0.8425203445246279
GJ_Kutch,0.7650440529600986,0.9078147267758816,0.8427314851755762
UP_Ghazipur,0.8024031515260972,0.9515480506178996,0.8432607801624381
UP_Shahjahanpur,0.735019886391128,0.8715963553354917,0.8433030747451976
JH_Sahibganj,0.8038333372445029,0.9521285530318583,0.8442487463324783
TN_Chennai,0.8359853803031166,0.9893160673401135,0.8450134470682928
PB_Sangrur,0.7481618831150905,0.8850960503582456,0.8452889184312476
JH_Deoghar,0.7826236290241663,0.9252008330086113,0.8458959407539595
JH_Ramgarh,0.7794233235427956,0.9210549744046295,0.8462288844882635
JK_Ganderbal,0.740647589060295,0.8740297379032258,0.8473940381446162
JK_Kupwara,0.7081019830028329,0.8354541428541302,0.847565350006849
AR_Lohit,0.7740141815028312,0.911887799950145,0.848804185717967
JH_Jamtara,0.8104078114595455,0.95401032532174,0.8494748850713282
MP_Chhatarpur,0.7508498879477342,0.882635898564395,0.8506904026552621
UP_Balrampur,0.7895401800238586,0.9275361278741496,0.8512231020407061
UP_Amroha,0.7747328753135561,0.9100346774972001,0.8513223665764535
OR_Jagatsinghpur,0.8237346504146087,0.9675374006039473,0.851372411960948
Delhi,0.7397172033543211,0.8679572767250237,0.8522507077138889
UP_Kannauj,0.749692560161555,0.878726570013246,0.85315795122737
UT_Haridwar,0.7513425355648666,0.8804649381524826,0.8533474792777563
UP_Pratapgarh,0.8396110367375312,0.9825468767133302,0.8545251698789917
OR_Khordha,0.7948448403945606,0.9292276742147666,0.8553822302658337
MP_Alirajpur,0.8652884791005703,1.0107987488346177,0.856044272015759
NL_Mon,0.7702532321829255,0.8994633898279356,0.8563475077404455
UP_Chandauli,0.7872028386457919,0.9184069240253265,0.857139485834368
BR_Rohtas,0.78761821497949,0.917609193376809,0.8583373190508792
MH_Ahmednagar,0.8071351656240385,0.9391798363087298,0.8594042742616067
MH_Solapur,0.807572760666855,0.938080267450441,0.8608781025335012
GJ_Dang,0.8660919052068292,1.0057019354952075,0.8611815038223684
PB_Sri Muktsar Sahib,0.7727929355297187,0.8962453376841273,0.8622560174500812
UP_Shrawasti,0.7611424306114832,0.8814053615357546,0.8635554806306986
JH_Pakur,0.8542377222664096,0.9891751222217068,0.8635859344579703
UP_Barabanki,0.7859911509939552,0.9101110497324953,0.8636211495563952
JH_Lohardaga,0.8509706120248045,0.9850921424242034,0.863848746098674
MP_Satna,0.7996958305481796,0.9256541064972202,0.8639251151537792
AR_East Kameng,0.8893462985307686,1.0294003868471953,0.863945953289003
UP_Mathura,0.7463592752597896,0.8631683276949803,0.8646740749314568
MP_Rewa,0.8046409153529851,0.9305411803118113,0.8647021027950221
JH_Ranchi,0.8209832862417213,0.9494152596397039,0.8647251852190352
MP_Panna,0.7830082271762208,0.905451000974732,0.8647715076059338
