districtid,vaccinateddose1ratio,vaccinateddose2ratio
TN_Krishnagiri,0.31778707304837883,0.05772660945872692
TN_Erode,0.31903582289993887,0.057365757386274814
WB_North 24 Parganas,0.31945633975408655,0.10327718458575667
PB_Fatehgarh Sahib,0.32159763264313196,0.068238128641719
MH_Washim,0.3240803234321227,0.1189949547261853
PB_Rupnagar,0.3258898641157886,0.07354661735514376
CT_Uttar Bastar Kanker,0.32799779955964486,0.09810786163396049
OR_Balangir,0.32863492171301706,0.056479787410165086
JH_Simdega,0.32882961015914525,0.056893348321652895
OR_Sundargarh,0.32939754098164886,0.08741605312221003
MH_Kolhapur,0.33070399104644194,0.18060599055572998
MP_Satna,0.3309863230646026,0.0640669198518575
MP_Barwani,0.33230197975150827,0.04548947564762054
MP_Jhabua,0.33299806448088287,0.050646408753541296
OR_Nayagarh,0.334039960988337,0.08630343720171293
AP_Anantapur,0.33441007285205043,0.14636739466444246
MP_Alirajpur,0.3345642449440946,0.04371336586195591
HR_Palwal,0.3350458613533223,0.07096521749137821
JH_East Singhbhum,0.3360593813469438,0.1183720959632838
MP_Shivpuri,0.3362550331682164,0.046741403783204426
KA_Belagavi,0.33641277069649916,0.09231637975998716
MZ_Lawngtlai,0.33724362562980303,0.08642509372826437
HR_Sirsa,0.3374758432939131,0.0947182225914519
NL_Mokokchung,0.3378240897740235,0.1125001284541316
KL_Malappuram,0.3386117405638816,0.13657401554126994
TR_South Tripura,0.33942427006361864,0.11657749249144693
OR_Kendrapara,0.34051880049515365,0.0930079334278004
OR_Rayagada,0.3405860662808874,0.07153343644198693
MH_Wardha,0.3414628521172779,0.11067026247449595
OR_Gajapati,0.3415095090660192,0.07569178476922624
MH_Satara,0.3417521683793643,0.14670139669165883
Telangana,0.34306167378976027,0.11797796770799823
KA_Chikkamagaluru,0.34340280554430247,0.14622996745934175
MH_Sindhudurg,0.34369170400552695,0.12648722828549605
PB_Ludhiana,0.34578400961031963,0.1101822685258889
GJ_Dahod,0.34585625592947344,0.16697820398423008
UP_Mahoba,0.34627116825235915,0.055340552857557096
CT_Korba,0.34647533647152423,0.10229231585228403
HR_Fatehabad,0.3469290698303948,0.08746500837039058
MP_Singrauli,0.34726332522259273,0.049878932980726876
PB_Shahid Bhagat Singh Nagar,0.3475118812366285,0.11183060867861051
JK_Anantnag,0.3475820716200732,0.09120119552198404
GJ_Bhavnagar,0.34775106627111496,0.11478302229057775
UP_Meerut,0.347981481486859,0.09165926423669501
ML_East Khasi Hills,0.34810551117417865,0.10319860713239265
MP_Sidhi,0.348815873182063,0.04210613176366619
KA_Koppal,0.3496978243352135,0.0987207896857373
HR_Yamunanagar,0.3500751520542248,0.11572757483291536
KA_Gadag,0.35044008378969915,0.11668654949885869
OR_Dhenkanal,0.3525344752856907,0.0784130931052782
KA_Bagalkote,0.3525663684970303,0.09815891185721724
MP_Morena,0.35396623549698114,0.05630859067025438
OR_Cuttack,0.35502558611834006,0.10845542147557412
MP_Bhind,0.3563706507027284,0.05529050120228655
KA_Bidar,0.35669406446310103,0.08881993776786239
MP_Mandla,0.35916788715571546,0.05305406647991999
AP_Guntur,0.35979793007629385,0.12120778761380602
MP_Dhar,0.3600112178966627,0.06127890426952598
HR_Kurukshetra,0.36062426463346997,0.11079608772048039
UP_Baghpat,0.36070735690473416,0.06802819236129444
OR_Bhadrak,0.3607466323936808,0.0834328573220999
AP_Y.S.R. Kadapa,0.3620392795204389,0.13713243750409804
