districtid,monthid,dose1,dose2
AR_East Siang,1,921,76
AR_East Siang,2,1647,891
AR_East Siang,3,8343,1464
AR_East Siang,4,6560,6033
AR_East Siang,5,5425,35
AR_East Siang,6,25956,3016
AR_East Siang,7,2473,4565
AR_Kamle,1,168,0
AR_Kamle,2,121,142
AR_Kamle,3,485,107
AR_Kamle,4,971,286
AR_Kamle,5,888,2
AR_Kamle,6,2143,269
AR_Kamle,7,1455,731
AR_Kra Daadi,1,205,0
AR_Kra Daadi,2,177,218
AR_Kra Daadi,3,764,90
AR_Kra Daadi,4,664,416
AR_Kra Daadi,5,1527,12
AR_Kra Daadi,6,1749,182
AR_Kra Daadi,7,763,830
AR_Kurung Kumey,1,467,0
AR_Kurung Kumey,2,310,276
AR_Kurung Kumey,3,2004,231
AR_Kurung Kumey,4,938,1415
AR_Kurung Kumey,5,1071,27
AR_Kurung Kumey,6,2272,350
AR_Kurung Kumey,7,1540,548
AR_Lepa Rada,1,602,0
AR_Lepa Rada,2,1070,550
AR_Lepa Rada,3,2042,747
AR_Lepa Rada,4,1334,1325
AR_Lepa Rada,5,1613,8
AR_Lepa Rada,6,5398,1183
AR_Lepa Rada,7,1072,1255
AR_Lohit,1,534,0
AR_Lohit,2,1426,381
AR_Lohit,3,2143,634
AR_Lohit,4,3141,968
AR_Lohit,5,3895,55
AR_Lohit,6,12351,1767
AR_Lohit,7,4521,2905
AR_Longding,1,397,61
AR_Longding,2,1161,187
AR_Longding,3,1139,714
AR_Longding,4,1758,614
AR_Longding,5,3758,140
AR_Longding,6,7626,370
AR_Longding,7,2421,1207
AR_Lower Dibang Valley,1,225,0
AR_Lower Dibang Valley,2,1252,278
AR_Lower Dibang Valley,3,3590,992
AR_Lower Dibang Valley,4,3807,1267
AR_Lower Dibang Valley,5,3541,45
AR_Lower Dibang Valley,6,13632,2974
AR_Lower Dibang Valley,7,3679,2546
AR_Lower Siang,1,179,0
AR_Lower Siang,2,550,288
AR_Lower Siang,3,1035,361
AR_Lower Siang,4,2713,438
AR_Lower Siang,5,1882,18
AR_Lower Siang,6,5832,1189
AR_Lower Siang,7,3505,2273
AR_Lower Subansiri,1,554,79
AR_Lower Subansiri,2,1151,616
AR_Lower Subansiri,3,3553,853
AR_Lower Subansiri,4,2947,2505
AR_Lower Subansiri,5,5136,12
AR_Lower Subansiri,6,8186,1297
AR_Lower Subansiri,7,3309,2789
AR_Namsai,1,742,0
AR_Namsai,2,2253,849
AR_Namsai,3,3779,1201
AR_Namsai,4,7942,2457
AR_Namsai,5,7459,33
AR_Namsai,6,29602,2311
AR_Namsai,7,6074,5756
AR_Pakke Kessang,1,248,0
AR_Pakke Kessang,2,516,163
AR_Pakke Kessang,3,1090,363
AR_Pakke Kessang,4,1784,817
AR_Pakke Kessang,5,1086,50
AR_Pakke Kessang,6,1590,527
AR_Pakke Kessang,7,1418,1064
AR_Papum Pare,1,1895,74
AR_Papum Pare,2,4740,1626
AR_Papum Pare,3,11726,3361
AR_Papum Pare,4,22346,7021
AR_Papum Pare,5,35305,123
AR_Papum Pare,6,32279,8361
AR_Papum Pare,7,14992,17755
AR_Shi Yomi,1,225,0
AR_Shi Yomi,2,283,250
AR_Shi Yomi,3,1048,267
AR_Shi Yomi,4,742,909
AR_Shi Yomi,5,699,9
AR_Shi Yomi,6,2935,178
AR_Shi Yomi,7,795,685
AR_Siang,1,263,0
AR_Siang,2,383,192
AR_Siang,3,2614,245
AR_Siang,4,1415,1027
AR_Siang,5,1104,113
AR_Siang,6,6394,1535
AR_Siang,7,1710,1161
AR_Tawang,1,791,0
AR_Tawang,2,2239,831
AR_Tawang,3,3422,1248
AR_Tawang,4,3345,2195
AR_Tawang,5,6017,31
AR_Tawang,6,9483,1910
AR_Tawang,7,2550,2993
AR_Tirap,1,634,0
AR_Tirap,2,1783,531
AR_Tirap,3,1264,1133
AR_Tirap,4,2006,872
AR_Tirap,5,5539,68
AR_Tirap,6,14592,852
AR_Tirap,7,3219,2177
AR_Upper Dibang Valley,1,158,0
AR_Upper Dibang Valley,2,567,162
AR_Upper Dibang Valley,3,580,346
AR_Upper Dibang Valley,4,344,376
AR_Upper Dibang Valley,5,425,11
AR_Upper Dibang Valley,6,1440,138
AR_Upper Dibang Valley,7,439,209
AR_Upper Siang,1,530,94
AR_Upper Siang,2,478,381
AR_Upper Siang,3,3282,417
AR_Upper Siang,4,2738,1772
AR_Upper Siang,5,2591,13
AR_Upper Siang,6,5359,1642
AR_Upper Siang,7,2527,2039
AR_Upper Subansiri,1,240,0
AR_Upper Subansiri,2,528,142
AR_Upper Subansiri,3,2797,524
AR_Upper Subansiri,4,5068,2408
AR_Upper Subansiri,5,5495,58
AR_Upper Subansiri,6,4112,867
AR_Upper Subansiri,7,4859,3268
AR_West Kameng,1,679,0
AR_West Kameng,2,5326,896
AR_West Kameng,3,6150,2927
AR_West Kameng,4,3989,3065
AR_West Kameng,5,7384,96
AR_West Kameng,6,18695,3312
AR_West Kameng,7,7923,3596
AR_West Siang,1,1006,72
AR_West Siang,2,1965,906
AR_West Siang,3,5407,1111
AR_West Siang,4,4122,2047
AR_West Siang,5,4032,53
AR_West Siang,6,13484,4493
AR_West Siang,7,2881,3664
Andaman and Nicobar Islands,1,3040,0
Andaman and Nicobar Islands,2,8464,2768
Andaman and Nicobar Islands,3,38205,3173
Andaman and Nicobar Islands,4,50036,8867
Andaman and Nicobar Islands,5,16942,564
Andaman and Nicobar Islands,6,60381,54284
Andaman and Nicobar Islands,7,55696,27631
Assam,1,122161,2016
Assam,2,348789,81914
Assam,3,805990,193006
Assam,4,1301599,450517
Assam,5,1358147,226842
Assam,6,3105574,477937
Assam,7,4387793,1010668
BR_Araria,1,9208,0
BR_Araria,2,18650,4580
BR_Araria,3,54148,4887
BR_Araria,4,63971,13639
BR_Araria,5,70861,7096
BR_Araria,6,137312,30292
BR_Araria,7,212973,43634
BR_Arwal,1,3783,2
BR_Arwal,2,3429,2741
BR_Arwal,3,22999,2401
BR_Arwal,4,9214,7342
BR_Arwal,5,16590,296
BR_Arwal,6,55265,6159
BR_Arwal,7,102762,9535
BR_Aurangabad,1,8879,3
BR_Aurangabad,2,10572,5515
BR_Aurangabad,3,49346,7236
BR_Aurangabad,4,50338,14059
BR_Aurangabad,5,77358,3840
BR_Aurangabad,6,147514,11867
BR_Aurangabad,7,197448,28843
BR_Banka,1,6725,0
BR_Banka,2,22719,3873
BR_Banka,3,78949,10930
BR_Banka,4,31958,22247
BR_Banka,5,47014,1114
BR_Banka,6,150291,11900
BR_Banka,7,149966,27678
BR_Begusarai,1,11016,0
BR_Begusarai,2,16286,8531
BR_Begusarai,3,126182,10583
BR_Begusarai,4,74505,29804
BR_Begusarai,5,83753,1471
BR_Begusarai,6,157115,17654
BR_Begusarai,7,245069,44486
BR_Bhagalpur,1,14774,0
BR_Bhagalpur,2,33320,10008
BR_Bhagalpur,3,124084,13289
BR_Bhagalpur,4,67606,33569
BR_Bhagalpur,5,106450,4920
BR_Bhagalpur,6,276855,40463
BR_Bhagalpur,7,271003,68739
BR_Bhojpur,1,9893,0
BR_Bhojpur,2,10198,6089
BR_Bhojpur,3,89867,6233
BR_Bhojpur,4,61985,30598
BR_Bhojpur,5,67547,1738
BR_Bhojpur,6,130655,14627
BR_Bhojpur,7,225935,40266
BR_Buxar,1,6932,0
BR_Buxar,2,11214,4453
BR_Buxar,3,66798,5418
BR_Buxar,4,37209,21219
BR_Buxar,5,46989,1037
BR_Buxar,6,102881,11110
BR_Buxar,7,140286,32555
BR_Darbhanga,1,17393,0
BR_Darbhanga,2,21283,12483
BR_Darbhanga,3,138473,10863
BR_Darbhanga,4,109342,53065
BR_Darbhanga,5,139103,3008
BR_Darbhanga,6,209236,32208
BR_Darbhanga,7,342514,73986
BR_East Champaran,1,19491,0
BR_East Champaran,2,15570,10926
BR_East Champaran,3,110500,8931
BR_East Champaran,4,155015,36009
BR_East Champaran,5,150425,1877
BR_East Champaran,6,335076,26535
BR_East Champaran,7,396507,123536
BR_Gaya,1,25120,13
BR_Gaya,2,26338,16028
BR_Gaya,3,143253,17167
BR_Gaya,4,73641,32514
BR_Gaya,5,117100,33815
BR_Gaya,6,276662,49262
BR_Gaya,7,293925,53629
BR_Gopalganj,1,9626,0
BR_Gopalganj,2,16878,6426
BR_Gopalganj,3,77202,6891
BR_Gopalganj,4,58192,24848
BR_Gopalganj,5,75277,2712
BR_Gopalganj,6,134143,7572
BR_Gopalganj,7,164258,36093
BR_Jamui,1,6728,0
BR_Jamui,2,14645,4371
BR_Jamui,3,60576,6254
BR_Jamui,4,36099,16346
BR_Jamui,5,48818,1440
BR_Jamui,6,93398,8805
BR_Jamui,7,124843,22479
BR_Jehanabad,1,5875,0
BR_Jehanabad,2,3917,3783
BR_Jehanabad,3,40509,2839
BR_Jehanabad,4,24064,8417
BR_Jehanabad,5,38002,1543
BR_Jehanabad,6,64505,14239
BR_Jehanabad,7,106089,22391
BR_Kaimur,1,6727,0
BR_Kaimur,2,7645,4052
BR_Kaimur,3,55704,3417
BR_Kaimur,4,33399,12466
BR_Kaimur,5,45452,2025
BR_Kaimur,6,76284,8542
BR_Kaimur,7,118243,15238
BR_Katihar,1,13089,0
BR_Katihar,2,13993,8997
BR_Katihar,3,63593,7830
BR_Katihar,4,54844,21686
BR_Katihar,5,87260,1144
BR_Katihar,6,159232,14053
BR_Katihar,7,234212,36384
BR_Khagaria,1,7024,3
BR_Khagaria,2,9270,4910
BR_Khagaria,3,49325,4747
BR_Khagaria,4,35506,12705
BR_Khagaria,5,36891,1160
BR_Khagaria,6,69780,7739
BR_Khagaria,7,158969,25512
BR_Kishanganj,1,8844,0
BR_Kishanganj,2,10619,5465
BR_Kishanganj,3,42521,6994
BR_Kishanganj,4,28236,14640
BR_Kishanganj,5,44865,670
BR_Kishanganj,6,86645,4997
BR_Kishanganj,7,114756,17806
BR_Lakhisarai,1,3773,0
BR_Lakhisarai,2,5029,2389
BR_Lakhisarai,3,24840,3235
BR_Lakhisarai,4,18761,7178
BR_Lakhisarai,5,24876,571
BR_Lakhisarai,6,56872,5640
BR_Lakhisarai,7,86884,14917
BR_Madhepura,1,9680,0
BR_Madhepura,2,12919,6240
BR_Madhepura,3,63427,5371
BR_Madhepura,4,49054,15353
BR_Madhepura,5,46183,1601
BR_Madhepura,6,75282,10015
BR_Madhepura,7,157022,31759
BR_Madhubani,1,14175,1
BR_Madhubani,2,28075,11838
BR_Madhubani,3,135360,12578
BR_Madhubani,4,107382,52454
BR_Madhubani,5,116095,1806
BR_Madhubani,6,249923,15816
BR_Madhubani,7,297576,92332
BR_Munger,1,8071,1
BR_Munger,2,7597,5072
BR_Munger,3,54355,5965
BR_Munger,4,26377,16646
BR_Munger,5,42315,996
BR_Munger,6,104659,12126
BR_Munger,7,138691,23645
BR_Muzaffarpur,1,20836,0
BR_Muzaffarpur,2,16418,12758
BR_Muzaffarpur,3,128887,9239
BR_Muzaffarpur,4,113891,35415
BR_Muzaffarpur,5,146981,4803
BR_Muzaffarpur,6,296352,54649
BR_Muzaffarpur,7,344335,77621
BR_Nalanda,1,14603,11
BR_Nalanda,2,19070,10958
BR_Nalanda,3,147354,11120
BR_Nalanda,4,75958,35590
BR_Nalanda,5,80828,2236
BR_Nalanda,6,222179,40772
BR_Nalanda,7,209790,69146
BR_Nawada,1,8158,16
BR_Nawada,2,14590,5299
BR_Nawada,3,84814,8131
BR_Nawada,4,38692,24817
BR_Nawada,5,56790,1284
BR_Nawada,6,96684,15422
BR_Nawada,7,187598,29614
BR_Patna,1,47407,2
BR_Patna,2,78712,27980
BR_Patna,3,264279,43285
BR_Patna,4,199827,113329
BR_Patna,5,394599,121934
BR_Patna,6,676214,174006
BR_Patna,7,849109,379557
BR_Purnia,1,12297,0
BR_Purnia,2,15002,7863
BR_Purnia,3,119747,7045
BR_Purnia,4,102398,33937
BR_Purnia,5,130087,4588
BR_Purnia,6,213583,36273
BR_Purnia,7,236486,73566
BR_Rohtas,1,11779,0
BR_Rohtas,2,17009,7829
BR_Rohtas,3,103791,9114
BR_Rohtas,4,54518,27884
BR_Rohtas,5,84405,1520
BR_Rohtas,6,151651,16328
BR_Rohtas,7,250074,47371
BR_Saharsa,1,7266,0
BR_Saharsa,2,10414,4693
BR_Saharsa,3,63244,4772
BR_Saharsa,4,58389,21158
BR_Saharsa,5,54122,1653
BR_Saharsa,6,100314,11173
BR_Saharsa,7,132099,34030
BR_Samastipur,1,18672,1
BR_Samastipur,2,27272,13815
BR_Samastipur,3,143057,11836
BR_Samastipur,4,89363,52165
BR_Samastipur,5,104561,2131
BR_Samastipur,6,198152,27831
BR_Samastipur,7,383068,68338
BR_Saran,1,18164,0
BR_Saran,2,20166,12251
BR_Saran,3,175241,12718
BR_Saran,4,111680,55162
BR_Saran,5,116634,3967
BR_Saran,6,223721,42478
BR_Saran,7,368474,86405
BR_Sheikhpura,1,2865,0
BR_Sheikhpura,2,5348,2411
BR_Sheikhpura,3,28147,3015
BR_Sheikhpura,4,10831,7990
BR_Sheikhpura,5,15670,266
BR_Sheikhpura,6,42427,5328
BR_Sheikhpura,7,61246,10848
BR_Sheohar,1,2724,0
BR_Sheohar,2,4313,1780
BR_Sheohar,3,38464,1365
BR_Sheohar,4,16067,8984
BR_Sheohar,5,16377,1533
BR_Sheohar,6,47746,11036
BR_Sheohar,7,43547,13340
BR_Sitamarhi,1,11499,0
BR_Sitamarhi,2,18297,6977
BR_Sitamarhi,3,108471,9543
BR_Sitamarhi,4,60672,27272
BR_Sitamarhi,5,71576,726
BR_Sitamarhi,6,135526,20966
BR_Sitamarhi,7,316713,55945
BR_Siwan,1,11773,1
BR_Siwan,2,17685,8913
BR_Siwan,3,190283,12191
BR_Siwan,4,83895,58642
BR_Siwan,5,101919,4398
BR_Siwan,6,192099,31463
BR_Siwan,7,311216,65443
BR_Supaul,1,10323,0
BR_Supaul,2,9300,6599
BR_Supaul,3,56287,4871
BR_Supaul,4,57998,10874
BR_Supaul,5,71739,2075
BR_Supaul,6,125001,15577
BR_Supaul,7,126688,39035
BR_Vaishali,1,14007,0
BR_Vaishali,2,19566,8030
BR_Vaishali,3,128260,9883
BR_Vaishali,4,70801,28465
BR_Vaishali,5,85081,16999
BR_Vaishali,6,164501,19869
BR_Vaishali,7,303705,53912
BR_West Champaran,1,13764,1
BR_West Champaran,2,10914,6449
BR_West Champaran,3,79418,8646
BR_West Champaran,4,77850,19601
BR_West Champaran,5,110108,1493
BR_West Champaran,6,232487,18031
BR_West Champaran,7,287206,44289
CH_Chandigarh,1,6712,117
CH_Chandigarh,2,31697,5656
CH_Chandigarh,3,70394,15804
CH_Chandigarh,4,97769,50550
CH_Chandigarh,5,129710,3766
CH_Chandigarh,6,184220,50248
CH_Chandigarh,7,213077,118210
CT_Balod,1,8549,45
CT_Balod,2,16671,7155
CT_Balod,3,119441,6263
CT_Balod,4,25849,18541
CT_Balod,5,5726,3717
CT_Balod,6,100390,36299
CT_Balod,7,63852,32521
CT_Baloda Bazar,1,9319,3
CT_Baloda Bazar,2,9321,7878
CT_Baloda Bazar,3,156843,6783
CT_Baloda Bazar,4,16509,13861
CT_Baloda Bazar,5,2468,1505
CT_Baloda Bazar,6,100449,27815
CT_Baloda Bazar,7,51259,26832
CT_Balrampur,1,5139,1
CT_Balrampur,2,11189,3326
CT_Balrampur,3,78110,5853
CT_Balrampur,4,42018,9949
CT_Balrampur,5,2754,959
CT_Balrampur,6,42716,10472
CT_Balrampur,7,12850,9398
CT_Bametara,1,6253,122
CT_Bametara,2,7562,5258
CT_Bametara,3,76909,3844
CT_Bametara,4,6882,6791
CT_Bametara,5,948,970
CT_Bametara,6,49183,12432
CT_Bametara,7,30767,15466
CT_Bastar,1,8713,11
CT_Bastar,2,14817,6672
CT_Bastar,3,98153,10795
CT_Bastar,4,34060,17260
CT_Bastar,5,5134,2313
CT_Bastar,6,75945,13913
CT_Bastar,7,32905,19921
CT_Bijapur,1,4531,58
CT_Bijapur,2,12865,2412
CT_Bijapur,3,23927,9567
CT_Bijapur,4,11194,6636
CT_Bijapur,5,1136,937
CT_Bijapur,6,17712,4587
CT_Bijapur,7,8264,4428
CT_Bilaspur,1,16040,183
CT_Bilaspur,2,26658,14314
CT_Bilaspur,3,245141,10437
CT_Bilaspur,4,49807,39301
CT_Bilaspur,5,7717,13514
CT_Bilaspur,6,127039,47714
CT_Bilaspur,7,103748,66955
CT_Dakshin Bastar Dantewada,1,4957,5
CT_Dakshin Bastar Dantewada,2,10504,3124
CT_Dakshin Bastar Dantewada,3,36251,7571
CT_Dakshin Bastar Dantewada,4,17892,13606
CT_Dakshin Bastar Dantewada,5,727,1170
CT_Dakshin Bastar Dantewada,6,28352,3280
CT_Dakshin Bastar Dantewada,7,13025,6791
CT_Dhamtari,1,5824,31
CT_Dhamtari,2,18276,4771
CT_Dhamtari,3,119954,9065
CT_Dhamtari,4,32501,27667
CT_Dhamtari,5,2324,2324
CT_Dhamtari,6,81946,24270
CT_Dhamtari,7,49678,23271
CT_Durg,1,18348,68
CT_Durg,2,35786,14868
CT_Durg,3,274101,24332
CT_Durg,4,33775,61732
CT_Durg,5,11344,6955
CT_Durg,6,124356,59292
CT_Durg,7,114445,91404
CT_Gariaband,1,5548,13
CT_Gariaband,2,6523,4337
CT_Gariaband,3,81292,4397
CT_Gariaband,4,11586,6462
CT_Gariaband,5,910,309
CT_Gariaband,6,36148,11691
CT_Gariaband,7,25269,12041
CT_Janjgir Champa,1,10215,7
CT_Janjgir Champa,2,17922,9028
CT_Janjgir Champa,3,169041,8417
CT_Janjgir Champa,4,74441,31454
CT_Janjgir Champa,5,5047,5438
CT_Janjgir Champa,6,90290,26750
CT_Janjgir Champa,7,82807,50625
CT_Jashpur,1,10967,19
CT_Jashpur,2,13445,7526
CT_Jashpur,3,106682,8360
CT_Jashpur,4,37290,18019
CT_Jashpur,5,2902,2748
CT_Jashpur,6,57247,12592
CT_Jashpur,7,33201,15839
CT_Kabeerdham,1,7485,2
CT_Kabeerdham,2,6523,5659
CT_Kabeerdham,3,76558,4248
CT_Kabeerdham,4,33482,11278
CT_Kabeerdham,5,10155,4855
CT_Kabeerdham,6,84413,16601
CT_Kabeerdham,7,37495,20652
CT_Kondagaon,1,5217,27
CT_Kondagaon,2,13467,3645
CT_Kondagaon,3,53521,6163
CT_Kondagaon,4,40338,9770
CT_Kondagaon,5,4709,1598
CT_Kondagaon,6,34607,3753
CT_Kondagaon,7,18324,7791
CT_Korba,1,10723,35
CT_Korba,2,22639,8757
CT_Korba,3,181831,6528
CT_Korba,4,53776,28252
CT_Korba,5,18898,7757
CT_Korba,6,83179,32380
CT_Korba,7,47025,39721
CT_Koriya,1,6338,1
CT_Koriya,2,10489,3489
CT_Koriya,3,68309,4777
CT_Koriya,4,23578,10334
CT_Koriya,5,7142,3207
CT_Koriya,6,43262,12305
CT_Koriya,7,22905,13615
CT_Mahasamund,1,9267,43
CT_Mahasamund,2,20389,8045
CT_Mahasamund,3,198561,15271
CT_Mahasamund,4,17392,36162
CT_Mahasamund,5,4172,5568
CT_Mahasamund,6,118115,40717
CT_Mahasamund,7,94308,38717
CT_Mungeli,1,3328,7
CT_Mungeli,2,9368,2576
CT_Mungeli,3,105745,2815
CT_Mungeli,4,11523,9982
CT_Mungeli,5,569,1036
CT_Mungeli,6,33324,14501
CT_Mungeli,7,30549,19136
CT_Narayanpur,1,1632,2
CT_Narayanpur,2,4354,861
CT_Narayanpur,3,10214,3683
CT_Narayanpur,4,6132,1808
CT_Narayanpur,5,569,1360
CT_Narayanpur,6,7856,2741
CT_Narayanpur,7,4061,1726
CT_Raigarh,1,16630,0
CT_Raigarh,2,25555,13146
CT_Raigarh,3,274521,16223
CT_Raigarh,4,57967,75106
CT_Raigarh,5,3209,7947
CT_Raigarh,6,334864,72161
CT_Raigarh,7,188041,86022
CT_Raipur,1,29376,27
CT_Raipur,2,36831,19820
CT_Raipur,3,270687,29320
CT_Raipur,4,39546,65186
CT_Raipur,5,15641,16494
CT_Raipur,6,417024,110044
CT_Raipur,7,347413,154097
CT_Rajnandgaon,1,15593,15
CT_Rajnandgaon,2,15340,13599
CT_Rajnandgaon,3,250378,8809
CT_Rajnandgaon,4,15213,17386
CT_Rajnandgaon,5,2995,3216
CT_Rajnandgaon,6,271943,63604
CT_Rajnandgaon,7,112932,64346
CT_Sukma,1,3629,117
CT_Sukma,2,17853,1936
CT_Sukma,3,33643,12435
CT_Sukma,4,14035,8897
CT_Sukma,5,1798,2102
CT_Sukma,6,27453,4051
CT_Sukma,7,7869,3797
CT_Surajpur,1,8444,24
CT_Surajpur,2,6070,5944
CT_Surajpur,3,105672,2622
CT_Surajpur,4,53874,13810
CT_Surajpur,5,1391,2676
CT_Surajpur,6,36754,10725
CT_Surajpur,7,17158,13373
CT_Surguja,1,8288,27
CT_Surguja,2,25877,6074
CT_Surguja,3,138388,10986
CT_Surguja,4,53184,23351
CT_Surguja,5,4409,6866
CT_Surguja,6,65582,26841
CT_Surguja,7,38422,27379
CT_Uttar Bastar Kanker,1,6743,12
CT_Uttar Bastar Kanker,2,36958,5848
CT_Uttar Bastar Kanker,3,83585,16050
CT_Uttar Bastar Kanker,4,27085,16072
CT_Uttar Bastar Kanker,5,2045,5176
CT_Uttar Bastar Kanker,6,56545,15799
CT_Uttar Bastar Kanker,7,32690,14520
DN_Dadra and Nagar Haveli,1,2851,41
DN_Dadra and Nagar Haveli,2,4961,2082
DN_Dadra and Nagar Haveli,3,26622,3910
DN_Dadra and Nagar Haveli,4,8330,5683
DN_Dadra and Nagar Haveli,5,71916,357
DN_Dadra and Nagar Haveli,6,156328,18258
DN_Dadra and Nagar Haveli,7,78657,11174
DN_Daman,1,754,30
DN_Daman,2,2919,694
DN_Daman,3,20930,1436
DN_Daman,4,8756,5519
DN_Daman,5,67419,987
DN_Daman,6,84887,15643
DN_Daman,7,25189,10965
DN_Diu,1,463,0
DN_Diu,2,2445,395
DN_Diu,3,5975,1413
DN_Diu,4,3611,3567
DN_Diu,5,17893,301
DN_Diu,6,6224,3375
DN_Diu,7,1311,4591
Delhi,1,178176,1967
Delhi,2,320119,118839
Delhi,3,1472979,284907
Delhi,4,1410375,603230
Delhi,5,1308922,455142
Delhi,6,2311893,687169
Delhi,7,1248538,1113747
GJ_Ahmedabad,1,106345,0
GJ_Ahmedabad,2,111912,61666
GJ_Ahmedabad,3,831221,92155
GJ_Ahmedabad,4,431941,324014
GJ_Ahmedabad,5,954787,63182
GJ_Ahmedabad,6,785053,244897
GJ_Ahmedabad,7,944347,426850
GJ_Amreli,1,16682,0
GJ_Amreli,2,33199,13449
GJ_Amreli,3,181997,13953
GJ_Amreli,4,20946,55069
GJ_Amreli,5,36249,27091
GJ_Amreli,6,102532,38864
GJ_Amreli,7,222952,73489
GJ_Anand,1,22620,1
GJ_Anand,2,48549,14420
GJ_Anand,3,254297,27524
GJ_Anand,4,74380,90680
GJ_Anand,5,106921,30028
GJ_Anand,6,179141,54081
GJ_Anand,7,256581,83818
GJ_Aravalli,1,14945,0
GJ_Aravalli,2,41067,12022
GJ_Aravalli,3,146473,18914
GJ_Aravalli,4,39147,55188
GJ_Aravalli,5,39476,30539
GJ_Aravalli,6,80472,20917
GJ_Aravalli,7,125700,43674
GJ_Banaskantha,1,35481,1
GJ_Banaskantha,2,52810,12847
GJ_Banaskantha,3,406314,42465
GJ_Banaskantha,4,135692,79659
GJ_Banaskantha,5,99860,59434
GJ_Banaskantha,6,122009,92589
GJ_Banaskantha,7,499647,202203
GJ_Bharuch,1,21887,0
GJ_Bharuch,2,21868,12736
GJ_Bharuch,3,145268,16210
GJ_Bharuch,4,68355,67256
GJ_Bharuch,5,161299,16853
GJ_Bharuch,6,202552,46169
GJ_Bharuch,7,207187,63921
