districtid,cases
KA_Vijayapura,36179
KA_Yadgir,27502
KL_Alappuzha,240519
KL_Ernakulam,437452
KL_Idukki,98133
KL_Kannur,203055
KL_Kasaragod,116396
KL_Kollam,288215
KL_Kottayam,235115
KL_Kozhikode,394973
KL_Malappuram,450082
KL_Palakkad,274982
KL_Pathanamthitta,138706
KL_Thiruvananthapuram,346041
KL_Thrissur,362333
KL_Wayanad,85539
LA_Kargil,3575
LA_Leh,16870
LD_Lakshadweep,10285
MH_Ahmednagar,297491
MH_Akola,59114
MH_Amravati,96288
MH_Aurangabad,154611
MH_Beed,100935
MH_Bhandara,60170
MH_Buldhana,84871
MH_Chandrapur,88711
MH_Dhule,46305
MH_Gadchiroli,30394
MH_Gondia,40538
MH_Hingoli,18456
MH_Jalgaon,140133
MH_Jalna,60344
MH_Kolhapur,201508
MH_Latur,92405
MH_Mumbai,754721
MH_Nagpur,493865
MH_Nanded,90702
MH_Nandurbar,40196
MH_Nashik,404026
MH_Osmanabad,65415
MH_Palghar,134061
MH_Parbhani,52286
MH_Pune,1103268
MH_Raigad,186255
MH_Ratnagiri,74116
MH_Sangli,194302
MH_Satara,229453
MH_Sindhudurg,49668
MH_Solapur,196323
MH_Thane,597411
MH_Wardha,59110
MH_Washim,41680
MH_Yavatmal,76256
ML_East Garo Hills,1772
ML_East Jaintia Hills,2247
ML_East Khasi Hills,34718
ML_North Garo Hills,1638
ML_Ribhoi,8536
ML_South Garo Hills,1172
ML_South West Garo Hills,1806
ML_South West Khasi Hills,2038
ML_West Garo Hills,8601
ML_West Jaintia Hills,5735
ML_West Khasi Hills,3227
MP_Agar Malwa,3303
MP_Alirajpur,3501
MP_Anuppur,9229
MP_Ashoknagar,3670
MP_Balaghat,9093
MP_Barwani,8363
MP_Betul,12901
MP_Bhind,2994
MP_Bhopal,123334
MP_Burhanpur,2568
MP_Chhatarpur,7610
MP_Chhindwara,6732
MP_Damoh,8120
MP_Datia,6958
MP_Dewas,7724
MP_Dhar,12533
MP_Dindori,4643
MP_Guna,5132
MP_Gwalior,53096
MP_Harda,5055
MP_Hoshangabad,10680
MP_Indore,153017
MP_Jabalpur,50645
MP_Jhabua,7688
MP_Katni,9365
MP_Khandwa,4040
MP_Khargone,13965
MP_Mandla,5188
MP_Mandsaur,8638
MP_Morena,8236
MP_Narsinghpur,11200
MP_Neemuch,7924
MP_Panna,7319
MP_Raisen,9233
MP_Rajgarh,8700
MP_Ratlam,17855
MP_Rewa,16434
MP_Sagar,16593
MP_Satna,11965
MP_Sehore,10136
MP_Seoni,6774
MP_Shahdol,10080
MP_Shajapur,6349
MP_Sheopur,4006
MP_Shivpuri,12393
MP_Sidhi,9219
MP_Singrauli,8793
MP_Tikamgarh,6863
MP_Ujjain,18896
MP_Umaria,6293
MP_Vidisha,11918
MZ_Aizawl,32741
MZ_Champhai,790
MZ_Kolasib,4043
MZ_Lawngtlai,2953
MZ_Lunglei,3618
MZ_Mamit,1562
MZ_Saiha,976
MZ_Serchhip,889
Manipur,107668
NL_Dimapur,13489
NL_Kiphire,234
NL_Kohima,8827
NL_Longleng,272
NL_Mokokchung,2003
NL_Mon,1126
NL_Peren,962
NL_Phek,477
NL_Tuensang,997
NL_Wokha,350
NL_Zunheboto,584
OR_Angul,43155
OR_Balangir,23237
OR_Balasore,38789
OR_Bargarh,30800
OR_Bhadrak,25792
OR_Boudh,12535
OR_Cuttack,88737
OR_Deogarh,6225
OR_Dhenkanal,19285
OR_Gajapati,9540
OR_Ganjam,33521
OR_Jagatsinghpur,26235
OR_Jajpur,41855
OR_Jharsuguda,23644
OR_Kalahandi,24188
OR_Kandhamal,11412
OR_Kendrapara,23834
OR_Kendujhar,20587
OR_Khordha,155204
OR_Koraput,18891
OR_Malkangiri,11545
OR_Mayurbhanj,39110
OR_Nabarangapur,23476
OR_Nayagarh,22928
OR_Nuapada,22815
OR_Puri,44097
OR_Rayagada,19908
OR_Sambalpur,30667
OR_Subarnapur,13103
OR_Sundargarh,60951
PB_Amritsar,47145
PB_Barnala,5917
PB_Bathinda,41634
PB_Faridkot,13858
PB_Fatehgarh Sahib,8819
PB_Fazilka,20195
PB_Ferozepur,14338
PB_Gurdaspur,22288
PB_Hoshiarpur,30687
PB_Jalandhar,63193
PB_Kapurthala,17788
PB_Ludhiana,87461
PB_Mansa,15579
PB_Moga,8651
PB_Pathankot,18641
PB_Patiala,48761
PB_Rupnagar,12882
PB_S.A.S. Nagar,68528
PB_Sangrur,15702
PB_Shahid Bhagat Singh Nagar,11449
PB_Sri Muktsar Sahib,18734
PB_Tarn Taran,8020
PY_Karaikal,15191
PY_Mahe,5048
PY_Puducherry,95335
RJ_Ajmer,37720
RJ_Alwar,59659
RJ_Banswara,10005
RJ_Baran,11993
RJ_Barmer,15550
RJ_Bharatpur,19591
RJ_Bhilwara,29773
RJ_Bikaner,40311
RJ_Bundi,7967
RJ_Chittorgarh,19809
RJ_Churu,16719
RJ_Dausa,13351
RJ_Dholpur,11006
RJ_Dungarpur,18407
RJ_Ganganagar,19338
RJ_Hanumangarh,16051
RJ_Jaipur,187613
RJ_Jaisalmer,13639
RJ_Jalore,10065
RJ_Jhalawar,13600
RJ_Jhunjhunu,14802
RJ_Jodhpur,112374
RJ_Karauli,7156
RJ_Kota,57051
RJ_Nagaur,17731
RJ_Pali,27315
RJ_Pratapgarh,7143
RJ_Rajsamand,17041
RJ_Sawai Madhopur,10605
RJ_Sikar,30607
RJ_Sirohi,13729
RJ_Tonk,9495
RJ_Udaipur,56372
Sikkim,28567
TN_Ariyalur,16093
TN_Chennai,540971
TN_Coimbatore,232582
TN_Cuddalore,61434
TN_Dharmapuri,26512
TN_Dindigul,32385
TN_Erode,96140
TN_Kallakurichi,29654
TN_Kancheepuram,72304
TN_Kanyakumari,60563
TN_Karur,22889
TN_Krishnagiri,41723
TN_Madurai,73790
TN_Nagapattinam,39348
TN_Namakkal,47952
TN_Nilgiris,31202
TN_Perambalur,11633
TN_Pudukkottai,28654
TN_Ramanathapuram,20128
TN_Ranipet,42238
TN_Salem,94728
TN_Sivaganga,19143
TN_Thanjavur,69299
TN_Theni,43102
TN_Thiruvallur,114684
TN_Thiruvarur,38451
TN_Thoothukkudi,55363
TN_Tiruchirappalli,73428
TN_Tirunelveli,48313
TN_Tiruppur,89034
TN_Tiruvannamalai,52724
TN_Vellore,48452
TN_Viluppuram,44311
TN_Virudhunagar,45687
TR_Dhalai,6889
TR_Gomati,7851
TR_Khowai,4481
TR_North Tripura,6938
TR_Sipahijala,6138
TR_South Tripura,9809
TR_Unokoti,8278
TR_West Tripura,30738
Telangana,652135
UP_Agra,25967
UP_Aligarh,21281
UP_Ambedkar Nagar,5082
UP_Amethi,9986
UP_Amroha,16651
UP_Auraiya,10088
UP_Ayodhya,16928
UP_Azamgarh,18073
UP_Baghpat,9240
UP_Bahraich,11600
UP_Ballia,21709
UP_Balrampur,7492
UP_Banda,11004
UP_Barabanki,19834
UP_Bareilly,43980
UP_Basti,11723
UP_Bhadohi,7770
UP_Bijnor,14793
UP_Budaun,14925
UP_Bulandshahr,20205
UP_Chandauli,16239
UP_Chitrakoot,7128
UP_Deoria,20217
UP_Etah,9982
UP_Etawah,13963
UP_Farrukhabad,10370
UP_Fatehpur,6888
UP_Firozabad,8717
UP_Gautam Buddha Nagar,63282
UP_Ghaziabad,55654
UP_Ghazipur,21639
UP_Gonda,12298
UP_Gorakhpur,59547
UP_Hamirpur,5243
UP_Hapur,12643
UP_Hardoi,13763
UP_Hathras,2921
UP_Jalaun,11665
UP_Jaunpur,22641
UP_Jhansi,36583
UP_Kannauj,9255
UP_Kanpur Dehat,6260
UP_Kanpur Nagar,82914
UP_Kasganj,4275
UP_Kaushambi,4499
UP_Kushinagar,15634
UP_Lakhimpur Kheri,24646
UP_Lalitpur,12859
UP_Lucknow,238934
UP_Maharajganj,12420
UP_Mahoba,4277
UP_Mainpuri,10024
UP_Mathura,20354
UP_Mau,8354
UP_Meerut,69606
UP_Mirzapur,11240
UP_Moradabad,39440
UP_Muzaffarnagar,31004
UP_Pilibhit,11037
UP_Pratapgarh,16307
UP_Prayagraj,78617
UP_Rae Bareli,17082
UP_Rampur,11842
UP_Saharanpur,33222
UP_Sambhal,9548
UP_Sant Kabir Nagar,8166
UP_Shahjahanpur,20358
UP_Shamli,13019
UP_Shrawasti,4489
UP_Siddharthnagar,9393
UP_Sitapur,12458
UP_Sonbhadra,16972
UP_Sultanpur,14958
UP_Unnao,15073
UP_Varanasi,85488
UT_Almora,12148
UT_Bageshwar,5731
UT_Chamoli,12155
UT_Champawat,7553
UT_Dehradun,112120
UT_Haridwar,51429
UT_Nainital,39521
UT_Pauri Garhwal,17588
UT_Pithoragarh,10170
UT_Rudraprayag,8772
UT_Tehri Garhwal,15839
UT_Udham Singh Nagar,37890
UT_Uttarkashi,12475
WB_Alipurduar,15068
WB_Bankura,34815
WB_Birbhum,40444
WB_Cooch Behar,28042
WB_Dakshin Dinajpur,17007
WB_Darjeeling,54276
WB_Hooghly,82276
WB_Howrah,94985
WB_Jalpaiguri,40382
WB_Jhargram,11467
WB_Kalimpong,6563
WB_Kolkata,311430
WB_Malda,32729
WB_Murshidabad,33652
WB_Nadia,69784
WB_North 24 Parganas,320427
WB_Paschim Bardhaman,56437
WB_Paschim Medinipur,51227
WB_Purba Bardhaman,40280
WB_Purba Medinipur,61010
WB_Purulia,19214
WB_South 24 Parganas,96779
WB_Uttar Dinajpur,19536
